cluster,keyword,tier,url,intent,priority,words
01. Главная,Экскурсии в Тбилиси и по Грузии,ВЧ,/,Комм,S,50
02. Навигация,Тимур,ВЧ,/about/,Навиг,A,364
02. Навигация,Контакты,СЧ,/contacts/,Навиг,A,256
02. Навигация,Фото и видео с туров,СЧ,/gallery/,Навиг,A,82
03. Услуги гида,Экскурсии в Тбилиси на русском языке,ВЧ,/gid-v-tbilisi-na-russkom/,Комм,S,179
04. Хабы-категории,Авторские туры по Грузии,ВЧ,/avtorskie-tury-gruzia/,Комм,S,173
04. Хабы-категории,Экскурсии по Грузии,ВЧ,/ekskursii-po-gruzii/,Комм,S,172
04. Хабы-категории,Экскурсии в Тбилиси,ВЧ,/ekskursii-tbilisi/,Комм,S,174
04. Хабы-категории,Горные туры в Грузии,ВЧ,/gornye-tury-gruzia/,Комм,S,175
04. Хабы-категории,Многодневные туры по Грузии,ВЧ,/mnogodnevnye-tury-gruzia/,Комм,S,176
04. Хабы-категории,Винные туры в Грузии,ВЧ,/vinnye-tury-gruzia/,Комм,S,174
05. Экскурсии: Казбеги/ВГД,Экскурсия Ананури из Тбилиси,СЧ,/ekskursiya/ekskursiya-ananuri-iz-tbilisi/,Комм,A,218
05. Экскурсии: Казбеги/ВГД,Экскурсия Гудаури из Тбилиси,СЧ,/ekskursiya/ekskursiya-gudauri-iz-tbilisi/,Комм,A,220
05. Экскурсии: Казбеги/ВГД,Экскурсия Казбеги из Тбилиси,ВЧ,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,Комм,A,223
05. Экскурсии: Казбеги/ВГД,Экскурсия в ущелье Трусо,СЧ,/ekskursiya/ekskursiya-truso/,Комм,A,221
05. Экскурсии: Казбеги/ВГД,Тбилиси + Казбеги + Кахетия тур,СЧ,/ekskursiya/tur-tbilisi-kazbegi-kakheti/,Комм,A,133
05. Экскурсии: Казбеги/ВГД,Военно-Грузинская дорога экскурсия,СЧ,/ekskursiya/voennaya-gruzinskaya-doroga/,Комм,A,215
06. Экскурсии: Кахетия/вино,Дегустация вина в Кахетии,СЧ,/ekskursiya/degustatsiya-vina-kakheti/,Комм,A,222
06. Экскурсии: Кахетия/вино,Экскурсия Кахетия из Тбилиси,ВЧ,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,Комм,A,225
06. Экскурсии: Кахетия/вино,Экскурсия Сигнахи из Тбилиси,СЧ,/ekskursiya/ekskursiya-sighnaghi-iz-tbilisi/,Комм,A,222
06. Экскурсии: Кахетия/вино,Тур квеври: вино по древним традициям,СЧ,/ekskursiya/kvevri-vino-tur/,Комм,A,230
06. Экскурсии: Кахетия/вино,Винный маршрут Алазанской долины,СЧ,/ekskursiya/vinniy-marshrut-alazani/,Комм,A,222
06. Экскурсии: Кахетия/вино,Винодельня Киндзмараули тур,СЧ,/ekskursiya/vinodelie-kindzmarauli/,Комм,A,217
07. Экскурсии: Тбилиси,Арт-тур по Тбилиси,СЧ,/ekskursiya/art-tur-tbilisi/,Комм,A,224
07. Экскурсии: Тбилиси,Экскурсия в Абанотубани и серные бани,ВЧ,/ekskursiya/ekskursiya-abanotubani/,Комм,A,232
07. Экскурсии: Тбилиси,Мтацминда и фуникулёр с гидом,НЧ,/ekskursiya/ekskursiya-mtatsminda/,Комм,A,230
07. Экскурсии: Тбилиси,Крепость Нарикала с гидом,СЧ,/ekskursiya/ekskursiya-narikala/,Комм,A,226
07. Экскурсии: Тбилиси,Экскурсия по Старому Тбилиси,СЧ,/ekskursiya/ekskursiya-stary-tbilisi/,Комм,A,228
07. Экскурсии: Тбилиси,Ночная экскурсия по Тбилиси,СЧ,/ekskursiya/nochnaya-ekskursiya-tbilisi/,Комм,A,229
07. Экскурсии: Тбилиси,Пешая экскурсия по Тбилиси,СЧ,/ekskursiya/peshaya-ekskursiya-tbilisi/,Комм,A,228
07. Экскурсии: Тбилиси,Шоппинг-тур по Тбилиси,НЧ,/ekskursiya/shopping-tur-tbilisi/,Комм,A,123
07. Экскурсии: Тбилиси,Тур по храмам Тбилиси,НЧ,/ekskursiya/tur-po-hramam-tbilisi/,Комм,A,226
08. Экскурсии: направления,Экскурсия Боржоми из Тбилиси,СЧ,/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,Комм,A,224
08. Экскурсии: направления,Экскурсия Давид Гареджи,СЧ,/ekskursiya/ekskursiya-david-gareji/,Комм,A,224
08. Экскурсии: направления,Экскурсия в Гори и Уплисцихе из Тбилиси,СЧ,/ekskursiya/ekskursiya-gori-iz-tbilisi/,Комм,A,129
08. Экскурсии: направления,Экскурсия Джвари из Тбилиси,СЧ,/ekskursiya/ekskursiya-jvari-iz-tbilisi/,Комм,A,223
08. Экскурсии: направления,Экскурсия Мцхета из Тбилиси,СЧ,/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,Комм,A,224
08. Экскурсии: направления,Экскурсия Сванетия из Тбилиси,СЧ,/ekskursiya/ekskursiya-svaneti-iz-tbilisi/,Комм,A,220
08. Экскурсии: направления,Экскурсия в Тушетию,НЧ,/ekskursiya/ekskursiya-tusheti/,Комм,A,220
08. Экскурсии: направления,Экскурсия Уплисцихе из Тбилиси,СЧ,/ekskursiya/ekskursiya-uplistsikhe-iz-tbilisi/,Комм,A,222
08. Экскурсии: направления,Экскурсия Вардзия из Тбилиси,СЧ,/ekskursiya/ekskursiya-vardzia/,Комм,A,222
08. Экскурсии: направления,Экскурсия в Зугдиди,НЧ,/ekskursiya/ekskursiya-zugdidi/,Комм,A,232
08. Экскурсии: направления,Тур в Батуми из Тбилиси,СЧ,/ekskursiya/tur-batumi-iz-tbilisi/,Комм,A,234
08. Экскурсии: направления,Экскурсия в Кутаиси из Тбилиси,СЧ,/ekskursiya/tur-kutaisi-iz-tbilisi/,Комм,A,229
08. Экскурсии: направления,Тбилиси,СЧ,/ekskursiya/tur-tbilisi-batumi/,Комм,A,128
08. Экскурсии: направления,Тбилиси,СЧ,/ekskursiya/tur-tbilisi-svaneti/,Комм,A,125
09. Многодневные туры,Приключенческий тур по Грузии,СЧ,/ekskursiya/priklyuchencheskiy-tur-gruziya/,Комм,A,222
09. Многодневные туры,Свадебный тур в Грузию,СЧ,/ekskursiya/svadebny-tur-gruziya/,Комм,A,228
09. Многодневные туры,Тур для пенсионеров по Грузии,СЧ,/ekskursiya/tur-dlya-pensionerov-gruziya/,Комм,A,129
09. Многодневные туры,Тур по Грузии на 10 дней,СЧ,/ekskursiya/tur-gruziya-10-dney/,Комм,A,236
09. Многодневные туры,Тур по Грузии на 3 дня,СЧ,/ekskursiya/tur-gruziya-3-dnya/,Комм,A,138
09. Многодневные туры,Тур по Грузии на 5 дней,СЧ,/ekskursiya/tur-gruziya-5-dney/,Комм,A,237
09. Многодневные туры,Тур по Грузии на 7 дней,СЧ,/ekskursiya/tur-gruziya-7-dney/,Комм,A,235
09. Многодневные туры,Тур Грузия + Армения,СЧ,/ekskursiya/tur-gruziya-armeniya/,Комм,A,125
09. Многодневные туры,Летний тур по Грузии,СЧ,/ekskursiya/tur-gruziya-leto/,Комм,A,127
09. Многодневные туры,Новогодний тур в Грузию,СЧ,/ekskursiya/tur-gruziya-noviy-god/,Комм,A,125
09. Многодневные туры,Тур по всей Грузии,СЧ,/ekskursiya/tur-vsya-gruziya/,Комм,A,124
10. Тематические,Мастер-класс по чаче в Кахетии,СЧ,/ekskursiya/chacha-master-klass/,Комм,B,222
10. Тематические,Фототур по Тбилиси с гидом,СЧ,/ekskursiya/fotosessiya-tbilisi/,Комм,B,232
10. Тематические,Гастрономический тур по Тбилиси,СЧ,/ekskursiya/gastronomicheskiy-tur-tbilisi/,Комм,B,223
10. Тематические,Мастер-класс по хачапури,СЧ,/ekskursiya/khachapuri-master-klass/,Комм,B,123
10. Тематические,Трансфер из аэропорта Тбилиси,СЧ,/ekskursiya/transfer-aeroport-tbilisi/,Комм,B,126
11. Аудиторные,Семейный тур по Тбилиси с детьми,СЧ,/ekskursiya/family-tur-tbilisi/,Комм,B,235
11. Аудиторные,Тур для группы 10+ человек,СЧ,/ekskursiya/gruppa-10-chelovek-tbilisi/,Комм,B,130
11. Аудиторные,Корпоративный тур по Тбилиси,СЧ,/ekskursiya/korporativniy-tur-tbilisi/,Комм,B,125
11. Аудиторные,Романтический тур по Тбилиси,СЧ,/ekskursiya/romanticheskiy-tur-tbilisi/,Комм,B,130
11. Аудиторные,Советская архитектура Тбилиси,СЧ,/ekskursiya/sovetskiy-tur-tbilisi/,Комм,B,200
11. Аудиторные,Детский тур по Тбилиси,СЧ,/ekskursiya/tur-dlya-detey-tbilisi/,Комм,B,126
11. Аудиторные,Тур для эмигрантов в Тбилиси,СЧ,/ekskursiya/tur-dlya-emigrantov-tbilisi/,Комм,B,280
11. Аудиторные,Тур для релокантов в Тбилиси,СЧ,/ekskursiya/tur-dlya-relokantov-tbilisi/,Комм,B,132
12. Экскурсии: прочие,Все экскурсии в Грузии,ВЧ,/ekskursiya/,Комм,B,119
12. Экскурсии: прочие,Винный тур по барам Тбилиси,СЧ,/ekskursiya/vinniy-tur-tbilisi/,Комм,B,231
13. Гео-лендинги,Туры в Грузию из Москвы,ВЧ,/tury-v-gruziyu-iz-moskvy/,Комм,S,174
13. Гео-лендинги,Туры в Грузию из СПб,ВЧ,/tury-v-gruziyu-iz-spb/,Комм,S,145
13. Гео-лендинги,Туры в Грузию из Екатеринбурга,ВЧ,/tury-v-gruziyu-iz-ekaterinburga/,Комм,A,182
13. Гео-лендинги,Туры в Грузию из Еревана,ВЧ,/tury-v-gruziyu-iz-erevana/,Комм,A,180
13. Гео-лендинги,Туры в Грузию из Казахстана,ВЧ,/tury-v-gruziyu-iz-kazahstana/,Комм,A,135
13. Гео-лендинги,Туры в Грузию из Казани,ВЧ,/tury-v-gruziyu-iz-kazani/,Комм,A,181
13. Гео-лендинги,Туры в Грузию из Краснодара,ВЧ,/tury-v-gruziyu-iz-krasnodara/,Комм,A,188
13. Гео-лендинги,Туры в Грузию из Минска,ВЧ,/tury-v-gruziyu-iz-minska/,Комм,A,138
13. Гео-лендинги,Туры в Грузию из Новосибирска,ВЧ,/tury-v-gruziyu-iz-novosibirska/,Комм,A,181
13. Гео-лендинги,Туры в Грузию из Ташкента,ВЧ,/tury-v-gruziyu-iz-tashkenta/,Комм,A,135
13. Гео-лендинги,Туры в Грузию из Владикавказа,ВЧ,/tury-v-gruziyu-iz-vladikavkaza/,Комм,A,176
14. Блог: Казбеги,Казбеги: что посмотреть за 1 день (и почему,ВЧ,/blog/kazbegi-chto-posmotret/,Инфо,A,125
14. Блог: Казбеги,"Казбеги или Кахетия: что выбрать, если время",СЧ,/blog/kazbegi-ili-kakheti/,Инфо,A,125
14. Блог: Казбеги,Из Тбилиси в Казбеги : маршрут и цены,ВЧ,/blog/kazbegi-iz-tbilisi-2026/,Инфо,A,130
14. Блог: Казбеги,Казбеги самостоятельно или с гидом: считаем,СЧ,/blog/kazbegi-samostoyatelno-ili-s-gidom/,Инфо,A,118
14. Блог: Казбеги,"Казбеги зимой : стоит ли ехать, дорога",НЧ,/blog/kazbegi-zimoy/,Инфо,A,130
14. Блог: Казбеги,Когда ехать в Казбеги: сезоны,ВЧ,/blog/kogda-ekhat-v-kazbegi/,Инфо,A,130
14. Блог: Казбеги,Трансфер Тбилиси,СЧ,/blog/transfer-tbilisi-kazbegi/,Инфо,A,123
14. Блог: Казбеги,Ущелье Трусо: марсианские пейзажи в 10 км от,СЧ,/blog/ushchelye-truso/,Инфо,A,124
14. Блог: Казбеги,Военно-Грузинская дорога : маршрут и,СЧ,/blog/voenno-gruzinskaya-doroga/,Инфо,A,117
15. Блог: Кахетия,"Дегустация вина в Грузии: гид для тех, кто не",СЧ,/blog/degustatsiya-vina-gruziya/,Инфо,B,121
15. Блог: Кахетия,Грузинское вино: 8000 лет в одном бокале,СЧ,/blog/gruzinskoe-vino-gid/,Инфо,B,124
15. Блог: Кахетия,"Что посмотреть в Кахетии : маршрут, монастыри, вино",ВЧ,/blog/kakheti-chto-posmotret/,Инфо,B,92
15. Блог: Кахетия,"Кахетия осенью: ртвели, вино и золотые",НЧ,/blog/kakheti-osenyu/,Инфо,B,122
16. Блог: направления,Батуми из Тбилиси: стоит ли ехать,СЧ,/blog/batumi-iz-tbilisi/,Инфо,B,125
16. Блог: направления,Боржоми за 1 день из Тбилиси : парк,СЧ,/blog/borzhomi/,Инфо,B,133
16. Блог: направления,Давид Гареджи: пещерный монастырь в грузинской,СЧ,/blog/david-gareji/,Инфо,B,122
16. Блог: направления,"Кутаиси из Тбилиси за 1 день : как добраться, что посмотреть",ВЧ,/blog/kutaisi-iz-tbilisi/,Инфо,B,95
16. Блог: направления,Мцхета из Тбилиси: что посмотреть за полдня,ВЧ,/blog/mtskheta-iz-tbilisi/,Инфо,B,119
16. Блог: направления,"Сванетия: башни, горы и как добраться",СЧ,/blog/svanetiya/,Инфо,B,129
16. Блог: направления,Уплисцихе из Тбилиси : пещерный город,СЧ,/blog/uplistsikhe/,Инфо,B,130
16. Блог: направления,Вардзия из Тбилиси : пещерный монастырь,СЧ,/blog/vardzia/,Инфо,B,131
17. Блог: Тбилиси,Аэропорт Тбилиси: как добраться дёшево,СЧ,/blog/aeroport-tbilisi/,Инфо,A,126
